tract,drywells,domwells,ratio,CESscoreP,tenpercbins,lat,long
6011000500,0,83,0,61,60%-70%,-121.9636465,39.314744
6011000200,1,228,0.004385965,62,60%-70%,-122.0259021,39.1863211
6011000400,1,342,0.002923977,42,40%-50%,-122.4155716,39.2881333
6011000300,0,241,0,51,50%-60%,-122.2818535,39.1078478
6011000100,7,466,0.015021459,55,50%-60%,-122.0142763,39.003105
6103000600,7,568,0.012323944,51,50%-60%,-122.2068646,40.1913614
6103000900,0,664,0,62,60%-70%,-122.0239555,39.9701372
6103000100,9,1167,0.007712082,51,50%-60%,-121.8564922,40.1943009
6025012400,0,94,0,74,70%-80%,-115.1126532,33.2019033
6005000304,0,253,0,58,50%-60%,-120.9220547,38.2814338
6005000101,0,1079,0,19,10%-20%,-120.5707489,38.4649441
6005000303,0,155,0,54,50%-60%,-120.9288239,38.3544187
6005000102,0,416,0,34,30%-40%,-120.2562561,38.5394172
6005000402,0,1041,0,38,30%-40%,-120.6621779,38.3930097
6005000500,0,413,0,46,40%-50%,-120.7391956,38.3175704
6005000401,0,538,0,53,50%-60%,-120.7589689,38.3970536
6005000301,0,368,0,50,40%-50%,-120.9500222,38.457356
6005000200,0,1607,0,38,30%-40%,-120.7448948,38.4852152
6061020401,0,6,0,34,30%-40%,-121.0770752,38.8923191
6009000503,0,80,0,10,0%-10%,-120.3311458,38.2341994
6009000501,0,75,0,19,10%-20%,-120.3934638,38.1924839
6009000121,1,262,0.003816794,29,20%-30%,-120.5609618,38.0706597
6009000504,0,86,0,0,0%-10%,-120.2111512,38.4051305
6009000122,0,565,0,13,10%-20%,-120.4761869,38.1257461
6009000400,0,1276,0,18,10%-20%,-120.449,38.3647246
6009000300,0,1272,0,26,20%-30%,-120.5813938,38.2401676
6009000220,0,332,0,35,30%-40%,-120.773333,38.1081725
6009000120,0,491,0,43,40%-50%,-120.6736779,37.9756396
6009000210,0,1452,0,45,40%-50%,-120.8741765,38.1930259
6061020502,0,606,0,6,0%-10%,-121.0997167,38.8567146
6061022013,0,1156,0,17,10%-20%,-120.7181379,39.2241768
6061021304,0,1420,0,42,40%-50%,-121.283873,38.9695759
6061020602,0,1388,0,7,0%-10%,-121.164918,38.805202
6061021802,0,337,0,35,30%-40%,-121.0601198,38.9479978
6061021801,0,1110,0,20,10%-20%,-121.0699172,38.9814721
6061020200,0,653,0,16,10%-20%,-120.5640417,39.0828051
6085504420,0,35,0,24,20%-30%,-121.8680063,37.4597212
6085513500,0,285,0,32,30%-40%,-121.5279664,37.248099
6085504602,0,15,0,82,80%-90%,-121.9948126,37.4495367
6039000102,5,1171,0.004269855,55,50%-60%,-119.3767852,37.3965946
6039001000,13,532,0.02443609,85,80%-90%,-119.9925738,36.8838955
6039000509,25,1574,0.0158831,44,40%-50%,-119.8457067,36.9648983
6067009404,0,970,0,24,20%-30%,-121.1689727,38.3858209
6115041100,0,1748,0,11,10%-20%,-121.1797405,39.4524525
6115041000,0,2554,0,33,30%-40%,-121.4453728,39.2661888
6107004300,3,109,0.027522936,89,80%-90%,-119.3058575,35.8580543
6063000202,0,1026,0,25,20%-30%,-121.0251013,39.8314906
6063000400,0,1110,0,14,10%-20%,-120.9109355,40.0916592
6099003300,1,546,0.001831502,86,80%-90%,-121.298493,37.4986999
6099002901,13,826,0.015738499,63,60%-70%,-120.6513244,37.6014201
6089012604,1,801,0.001248439,19,10%-20%,-121.8497344,40.5780793
6019005801,0,8,0,49,40%-50%,-119.6910954,36.8011827
6019005904,0,501,0,31,30%-40%,-119.6356555,36.7303926
6019005515,0,389,0,32,30%-40%,-119.689719,36.9247612
6019005504,0,13,0,28,20%-30%,-119.7386275,36.8885355
6019005701,0,19,0,55,50%-60%,-119.6909537,36.8303592
6019005514,0,17,0,53,50%-60%,-119.7202981,36.8448035
6019004601,0,30,0,66,60%-70%,-119.8253921,36.8031545
6019004504,0,24,0,84,80%-90%,-119.7903044,36.8301672
